cashtag,sentiment score,text,source,spans,id
"$FB","0.230","Long $TQQQ at 104.15 with stop/loss below 1.5% of buying point.   #STUDY #QQQ $TSLA $NFLX $SPY $AAPL $FB $AMZN #GOOGL $MSFT","twitter","Long;$;buying point","719535349379285000"
"$PLUG","-0.480","$PLUG bear raid","stocktwits","bear raid","26218325"
"$SPY","0.109","$FB -0.75% #trading weak vs. $SPY & $QQQ here #stocks #stockaction #FANG","twitter","#trading weak vs. $SPY & $QQQ","719519346557657100"
"$MSFT","-0.632","$MSFT short , will cover in the high 30s if all goes as planned. LOL","stocktwits","short","21368480"
"$AAPL","0.452","$AAPL - LG Expects Strong Results From Premium Strategy https://t.co/YVS7GKQwYn","twitter","Expects Strong Results","719500525914492900"
"$CALX","0.355","Trades GTIM +400 $POZN +30 REDF +0 $CALX +40 $INCY +100 $YOKU 0 $UIS +110 total +680","stocktwits","$CALX +40","7737263"
"$TSLA","0.359","If you bought $TSLA in Feb '16 you'd be up 60%. One of the more obvious opportunities this year","twitter","One of the more obvious opportunities this year","719532321855025200"
"$BAC","0.394","Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner","stocktwits","holding up relatively well compared to the broad market","18249994"
"$HRL","0.336","$HRL ready to pop! http://stks.co/s0Ny4","stocktwits","i would rather be a buyer UGAZ at these levels then trying to sell","23416197"
"$VIPS","0.479","$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.","stocktwits","will go up much higher after this drop.","26943825"
"$PYPL","-0.506","I dumped $PYPL and $PRLB, maybe buy back another time.","twitter","I dumped $PYPL and $PRLB","719528681605959700"
"$SPPI","0.257","@bobinaccounting @BILLYTHE3RD @QR_Winner It will do just fine....IMHO...I have NO worries with $SPPI the real deal here...HOLDING","stocktwits","the real deal here...HOLDING","7139227"
"$INO","-0.507","what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO","stocktwits","large players are selling","24458298"
"$EURUSD","0.317","Yahoo extends bidding deadline as interest grows https://t.co/Pcsr1z1UYL #Trading #Investing #Stockmarket $SPX $DJIA $SPX $EURUSD #DAX $YHOO","twitter","Yahoo extends bidding deadline as interest grows","719478441544925200"
"$FCX","0.190","$FCX $GDX watching China ppi cpi reporting tonight. Commods super sensitive to china still. Could offer support revisit to jump on long bus?","stocktwits","Could offer support revisit to jump on long bus?","29012822"
"$SBUX","0.341","#FusionIQ NEW Positive Timing Signal on $SBUX Today https://t.co/9ImlXz4YNa Please Retweet #Signals","twitter","NEW Positive Timing Signal","719523247604285400"
"$BBRY","0.284","@Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry","stocktwits","will bring good news in time","14695795"
"$HOT","0.322","Shareholders welcome Marriott-Starwood deal $MAR  $HOT https://t.co/aCWfeIiZGA","twitter","Shareholders welcome Marriott-Starwood deal","719597174946992100"
"$PYPL","0.361","Big winner from the @chessNwine 'Long Ideas' list up 3.21% $PYPL https://t.co/7xoEkacR7E https://t.co/dZbIYXcBSB","twitter","Big winner;$;Long","711946103189426200"
"$AAPL","0.411","$AAPL I'm sure those short are holding their breath hoping for a miracle. lol","stocktwits","those short are holding their breath hoping for a miracle","7284904"
"$GS","0.255","back in $GS tight","stocktwits","back in","6135022"
"$SPY","-0.749","Market seems like it's about to roll over here.   Look out below!  $Spy 195 5 DTE $nflx 90-95 28-42 DTE","twitter","Market seems like it's about to roll over here;$;Look out below!","719535831040401400"
"$VECO","0.054","$CREE $VECO $RBCN $LEDS March LED light bulb prices rise in Japan, fall in other markets http://stks.co/dQHT","stocktwits","LED light bulb prices rise in Japan","13028004"
"$LNKD","0.629","$URI over 100% upside left from here in next 6 mnths based  $SINA nov 2010 $LNKD 100% from here based off $BIDU july 2007. History rhymes","stocktwits","over 100% upside left from here in next 6 mnths","12108658"
"$SPY","-0.501","Crude Oil Bears Take a Clear Near Term Advantage > http://stks.co/1bfD $USO $GLD $GDX $SPY","stocktwits","Bears Take a Clear Near Term Advantage","6148018"
"$FB","-0.373","Is $FB a BUY? Topeka Capital Markets thinks so:http://stks.co/hsVX","stocktwits","Topeka Capital Markets thinks so;$;Is $FB a BUY?","17025255"
"$GS","0.332","Unusual Call Activity https://t.co/Cg7Yk4msrI $VXX $CLF $EEM $HYG $C $INTC $XOP $AA $VRX $GS $SBUX $JPM $MGM $USO $QQQ $BAC $CMG $CSCO $GOOG","twitter","Unusual Call Activity","710863854381563900"
"$AMRN","0.214","$AMRN Maybe '889 patent new nxt wk, and NCE follow wk after nxt. No one want to miss out on any great new over this weekend.","stocktwits","No one want to miss out on any great new;$;patent new nxt wk","9346026"
"$SCTY","0.408","Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3","twitter","Most bullish stocks on Twitter during this dip","719909604654624800"
"$SPY","-0.537","loading $SPY and $AAPL puts. think were toppy IMHO.","twitter","loading $SPY and $AAPL puts;$;think were toppy","719575574101016600"
"$LUV","0.092","U.S. airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU https://t.co/VCwz6l4v8M","twitter","airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU","709745040826966000"
"$TSLA","-0.300","$TSLA <STUDY the CHARTS> Pullback_Time https://t.co/ZMDG0fb3I7","twitter","Pullback_Time","719927267867103200"
"$BBRY","-0.439","$BBRY another 30% on $BBRY 16 weekly puts lol I'm going back to sleep","stocktwits","another 30% on $BBRY 16 weekly puts","13552568"
"$WYNN","-0.424","Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell","stocktwits","red before the bell","5466785"
"$GOOG","-0.136","$FB is taking the shine off $AAPL and $GOOG. As for $TWTR, no words.","twitter","$FB is taking the shine off $AAPL and $GOOG","719945914270556200"
"$AAPL","0.500","$AAPL $131 rally mode","stocktwits","rally mode","33296832"
"$IVZ","-0.464","Short Setups Looking Nice....Really Nice | $AL $ADS $BBY $HRS $DY $EBAY $ETFC $F $FLT $BK $AMGN $HRTX $IVZ $LCI https://t.co/G9DxoE5dzj","twitter","Short Setups Looking Nice....Really Nice","709779449663721500"
"$AAPL","-0.496","$AAPL is becoming such a disaster. Momentum traders unlikely to return after the next leg down. Better returns elsewhere.","stocktwits","becoming such a disaster;$;Better returns elsewhere","5703818"
"$LYB","0.300","$LYB 55.14 entry idea (coming out of a narrow intraday range with yesterdays high still above)","stocktwits","entry idea;$;coming out of a narrow intraday range with yesterdays high still above","10041230"
"$AAPL","0.599","That's all Folks. Chen killed #BlackBerry. Bet on high-end Android, then mid. $AAPL killed former; killing latter. https://t.co/C9qWzQ9nVN","twitter","$AAPL killed former; killing latter","719574026134237200"
"$WTS","0.857","Worst performers today: $RIG -13% $EK -10% $MGM $IO -6% $CAR -5,5% / best stock: $WTS +15%","stocktwits","best stock: $WTS +15%","5679790"
"$TIBX","-0.305","@TrendRida $TIBX Insider selling probably the reason","stocktwits","Insider selling probably the reason","5801762"
"$HMC","0.432","Looking for $HMC stock to make new 2013 high tomorrow.","stocktwits","Looking for $HMC stock to make new 2013 high","13415559"
"$GLUU","0.088","333.0% increased bullish conversations in $BAC in the past 1 hour.","stocktwits","33.0% decreased bullish conversations","22410112"
"$IPG","0.352","Breakout watch for TUES $ARR $ATU $CA $G $IPG $NLSN $SE","twitter","Breakout watch","719665168431456300"
"$F","-0.566","Insiders Are Selling Facebook and Ford Motor $CBPO $F $FIT $FB $HPCQ $PRAH $NUAN $LYB https://t.co/15XRPpYNFz","twitter","Insiders Are Selling","708960045799759900"
"$STX","0.532","$STX Sloppy daily studies but strong weekly led to buy rec last week. Daily RS improving Still looking for $39-$40 https://t.co/Y6RDsornF2","twitter","strong weekly led to buy rec last week;$;Daily RS improving","719528591168565200"
"$GOOG","0.181","$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5","twitter","trails $MSFT $ORCL $GOOG $CRM $ADBE","719599233280512000"
"$CYTR","-0.183","$CYTR AF bashing CYTR on twitter.","stocktwits","$CYTR AF bashing","28127317"
"$AMGN","-0.333","Out of $AMGN one year later. I'm tired of waiting here. The story of Q2 will be long $REGN and small NASH m&a pickups. #biotech","twitter","Out of $AMGN one year later;$;I'm tired of waiting here","719549796994814000"
"$WGO&","0.076","$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.","stocktwits","was right to reject the offer","8056516"
"$UNG","-0.875","Bot more $UNG puts","stocktwits","Bot more $UNG puts","8168244"
"$AAPL","-0.155","$AAPL right at the top of thre cloud. No position - https://t.co/tu69CKosk0 https://t.co/Ueprjrs6CY #stockcharts","twitter","right at the top of thre cloud","710580416634171400"
"$TZA","0.841","Buying $TZA calls / $TNA puts tomorrow","stocktwits","Buying $TZA calls","5350721"
"$NDX","0.371","Indexes & industry groups I track that closed Friday with the RS line in new highs. $SOX $NDX $IBD50 $IBD20 $PNQI $FPX","stocktwits","closed Friday with the RS line in new highs","19869247"
"$CLF","0.441","@phamoptiontrader Rising steel demand and higher prices in both steel and coal now are going to make $CLF a Cash Magnet. Upper 20's/lo 30's~","stocktwits","Rising steel demand and higher prices in both steel and coal;$;Cash Magnet","15208067"
"$ATVI","0.365","Pie In The Sky? https://t.co/BOTmT7TZyj $AAPL $ADBE $AKAM $AMZN $ATVI $CA $CHKP $CRM $CSCO $EMC $EQIX $FB $FFIV $GOOGL $HPE $HPQ $IBM","twitter","Pie In The Sky","719849703106551800"
"$FB","0.449","Fed cuts rates forecast. Our calls go 100% in $FB $AAPL $GOOGL $FIT $FDX Get the Mojo!! https://t.co/QJZ7NwlAtl $SPY https://t.co/yIpqLnjI8t","twitter","Fed cuts rates forecast;$;Our calls go 100%","710232348738986000"
"$AAPL","-0.054","Adding to the Puts in $AMZN mentioned earlier easier to play right now than $AAPL short term.","stocktwits","Adding to the Puts","10932475"
"$AAPL","0.111","RT @Eden13 @twelve30 anyone who stayed long $AAPL  made plenty $ but  needs major medical treatment for ulcers. / Major Medical BOYEEEEEEEE!","stocktwits","anyone who stayed long $AAPL made plenty $","9739175"
"$OPK","0.538","$OPK Like this one a lot.","stocktwits","Like this one a lot.","35161526"
"$HTZ","0.421","Unusual Call Activity https://t.co/WXu7JvqwBj $XLI $NXPI $WY $AMD $RF $MJN $WSM $AKS $GWPH $DG $MGM $SWKS $AAPL $ASHR $HTZ $ORCL $DDD $LVS","twitter","Unusual Call Activity","709777793798656000"
"$BBRY","-0.238","$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.","stocktwits","Actually lost .03c per share","15479707"
"$ULTA","0.452","Our updated #core4 portfolio: $TSLA, $ULTA, $FB, & $NFLX","twitter","Our updated #core4 portfolio","719532032305573900"
"$AAPL","0.249","$AAPL Dips being bought up real quick. Higher lows fo sho","stocktwits","Dips being bought up real quick","36961143"
"$CFG","0.348","Highest call to put ratio $EEV $MHLD $CLD $YGE $GALE $CERS $STLD $LXK $QLIK $GRA $SAND $DISCA $VNQ $EGO $INVA $CFG https://t.co/PrWI3Pm5bm","twitter","Highest call to put ratio","719614954500857900"
"$ACOM","-0.536","$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.","stocktwits","Downside breakout looks to be coming soon","5898485"
"$AMZN","0.353","Equities recently tagged #undervalued by the ClosingBell community: $GBSN $AAPL $GPRO $AGN $AMZN https://t.co/KW5Vl5Pl0j","twitter","Equities recently tagged #undervalued","719540521576882200"
"$TRIP","-0.019","$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66","twitter","maintains Neutral rating at JP Morgan;$;PT cut","719869785249460200"
"$VIAB","0.252","$VIAB cheapest #stock by PE in Television Services industry; PE 8.18 vs.avg. 26.864779 https://t.co/0MDVxY5dwp","twitter","heapest #stock by PE in Television Services industry;$;PE 8.18 vs.avg. 26.864779","719656300863299600"
"$ACRX","0.499","$ACRX hell yeah ill take that fill all day long baby","stocktwits","hell yeah ill take that fill all day long baby","24946705"
"$NFLX","0.433","$NFLX https://t.co/ZTIcvYqTx7 Pot. cont. Uptrend LONGERTERM Wly-Dly-Hly combo chart #Netflix #Stocks https://t.co/Lc6JdqhqcV","twitter","Pot. cont. Uptrend LONGERTERM","719545628985004000"
"$ISRG","0.360","$ISRG Break out confirmed. Bought Leaps. Good trading!","twitter","Break out confirmed;$;Bought Leaps","711022398322008000"
"$DNKN","0.291","$DNKN Love the donuts and coffee.  Hate the plunges to 40.  One more time and it goes to $35 on long term chart.  .  . Perfect buy there.","stocktwits","Perfect buy there","30800444"
"$GPRO","0.594","Long $GPRO for a brealout trade","stocktwits","Long $GPRO for a brealout trade","35143213"
"$SBUX","0.388","Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K","twitter","Digital Strategy To Drive Significant Growth With Customer Loyalty","719623898627616800"
"$IP","0.446","Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh","stocktwits","Double bottom;$;handle buy point","5849433"
"$BBBY","0.218","This $BBBY stock options trade would have more than doubled your money https://t.co/7p6MFboHBE","twitter","stock options trade would have more than doubled your money","719503915591413800"
"$RXII","0.446","@Foolbull12 $RXII I guess you haven't seen the 3 month picture results. This company's tech works you better load up while you can","stocktwits","This company's tech works you better load up while you can","27783065"
"$GOOG","0.379","Report: Apple signs up for Google's cloud, uses much less of Amazon's $AAPL $GOOG $GOOGL $AMZN $DROPB https://t.co/zN3KDGYvGT","twitter","Report: Apple signs up for Google's cloud","710221245716021200"
"$AAPL","0.374","$AAPL run Forest run!! #stocks","twitter","run Forest run!!","709738392968364000"
"$ITC","0.306","Commented on ParkerVision Is An Aggressive Buy For 2016 https://t.co/wap6G2iWOu $APPL $INTC $ITC $MIL $NVDA $QCOM $RF $PRKR","twitter","Aggressive Buy","719950370294792200"
"$AAPL","-0.338","A year after its launch, it’s now clear that pretty much no one needs an $AAPL Watch https://t.co/heCu6WrmXw","twitter","A year after its launch, itÃ¢â‚¬â„¢s now clear that pretty much no one needs an $AAPL Watch","719859934662365200"
"$ENB.CA","0.441","$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO","stocktwits","bullish reversal setup and breakout","35243913"
"$NFLX","0.304","$NFLX holding it's gains around $104.50 area. We'll see for how long","twitter","$NFLX holding it's gain","719530483898421200"
"$EK","-0.566","Worst performers today: $RIG -13% $EK -10% $MGM $IO -6% $CAR -5,5% / best stock: $WTS +15%","stocktwits","Worst performers today;$; $EK -10%","5679790"
"$AAPL","0.387","My guess is that $AAPL buys back after 3:30pm on Fridays to catch the pinners off guard. Huge volume.","stocktwits","My guess is that $AAPL buys back after;$;catch the pinners off guard","15256814"
"$BLUE","-0.317","Today's losers: $HTZ $CAR $ENDP $ICPT $BLUE $NOV $UA $PANW","twitter","Today's losers","719652260322476000"
"$SDS","-0.520","That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t","stocktwits","bearish outside day","5481072"
"$FB","0.324","Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn","twitter","Commodity Channel Index Indicator signaled a Oversold","719571578892206100"
"$TSLA","-0.219","$TSLA can't get back above $212.20 LOL Jeez","twitter","can't get back above $212.20","709382760092160000"
"$EBAY","0.348","eBay launching shopping bot on Facebook Messenger, per @davidspitz at #catalyst2016 $EBAY $FB","twitter","launching shopping bot;$;catalyst2016;$;#catalyst2016","719914922310643700"
"$TSLA","-0.355","$TSLA yeah lets go down to 230s lol","twitter","yeah lets go down","719519768349249500"
"$FB","-0.366","$FB held below $118 , double TOP ? all eyes on $110-108 https://t.co/vvBYXVmmvd","twitter","held below;$;double TOP","719612808913006600"
"$REGN","0.345","$REGN is at $373.27, above its lower Bollinger Band of $369.40 https://t.co/l1lK8WAfXE #REGN","twitter","above its lower Bollinger Band","709580205204099100"
"$FREE","0.538","$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!","stocktwits","Heeeeeere comes the pump!;$;So glad I picked up 9K end of day!;$;Get ready for the bull ride!","37400198"
"$AAL","0.405","Airplane And Hospitality Industries Set Their Sights On #Cuba $AAL $ALK $DAL $HOT $JBLU $LUV $MAR $UAL $VA $CUBA  https://t.co/VS5KpIOuuL","twitter","Airplane And Hospitality Industries Set Their Sights On #Cuba","719547552874512400"
"$LNC","0.454","Sector Stocks Leading Today: $DVN $APC $FTI $CPGX $CNX $HAR $WRK $LM $LNC $THC $MNK $DGX $MU $SYMC $AVGO $EXPE $DHI https://t.co/0SsgWYkl8p","twitter","Sector Stocks Leading Today","708355634857529300"
"$ADBE","0.342","Impressive numbers: Oracle pops on earnings; Adobe poised to follow $ORCL $ADBE https://t.co/ExqbOVHOJ1 via @TheStreet #commerce #saas","twitter","Impressive numbers","710145820939706400"
"$XLU","-0.064","Utilities: Still inside range ($DJU) or triangle ($XLU) but trying to break >50-Day SMA that has served as perfect support/resist for 6 mos.","stocktwits","trying to break >50-Day SMA","35596867"
"$RXII","0.383","$RXII still holding from 226 yday..no biggie","stocktwits","still holding from 226 yday","26722177"
"$TZA","0.208","Bot $TZA 31.30","stocktwits","","5670556"
"$CPIX","-0.231","Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP","stocktwits","Hopefully will pull back","38242955"
"$MU","0.169","$MU http://stks.co/1f0l $MU running away with the spoon, looking for  a healthy pull back, but longterm target 8.. IRA play","stocktwits","looking for a healthy pull back, but longterm target 8","6190411"
"$PAL","-0.172","$PAL debt was anyway eating 98% of EBIT.. now it becomes risk capital no guaranteed interest payouts.. lost huge but still hopeful","stocktwits","lost huge but still hopeful","36657723"
"$AAPL","-0.360","$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.","stocktwits","rejected the hod;$;should head lower","8301393"
"$AMZN","-0.485","$AMZN and $NFLX short/put positions looking good here. Wait for market downturn to confirm","stocktwits","short/put positions looking good here;$;Wait for market downturn to confirm","33349961"
"$SPY","-0.457","$SPY shorting this pig? sounds emotional. great way to trade.","stocktwits","shorting this pig","13998560"
"$CSCO","0.666","Oil To Break Out: Adding Chevron https://t.co/IrZkAVxjiE $AXP $CLGRF $CSCO $ERX $IBM $MCD $SSRI $VLO $WMT $XOM $CVX","twitter","Oil To Break Out;$;Adding Chevron","710211237058093000"
"$XLE","-0.517","energy still failing to close above the 10D MA.  continues to stand out weak $XLE","stocktwits","till failing to close above the 10D MA;$;continues to stand out weak","37081094"
"$M","0.432","Five Stocks that Helped Starboard Value’s Equity Portfolio Return 6.5% in Q1 $BAX, $M, $BCO, $NSP, $YHOO https://t.co/KY8OEtgbqh","twitter","Five Stocks that Helped Starboard ValueÃ¢â‚¬â„¢s Equity Portfolio Return 6.5% in Q1","719545488702177300"
"$AAPL","-0.490","Active puts @ CBOE; $AAPL 9/27/13 480 $LAMR Oct 43 & Jan 37 $MGM Jan15 10","stocktwits","Active puts","16084152"
"$SBUX","-0.539","Deutsche Bank cuts $SBUX","twitter","Deutsche Bank cuts $SBUX","719869647907110900"
"$DHI","0.454","Sector Stocks Leading Today: $DVN $APC $FTI $CPGX $CNX $HAR $WRK $LM $LNC $THC $MNK $DGX $MU $SYMC $AVGO $EXPE $DHI https://t.co/0SsgWYkl8p","twitter","Sector Stocks Leading Today","708355634857529300"
"$FTI","0.554","$FTI Breakout today after reporting earnings last night","stocktwits","Breakout today after reporting earnings last night","24943436"
"$AMGN","-0.464","Short Setups Looking Nice....Really Nice | $AL $ADS $BBY $HRS $DY $EBAY $ETFC $F $FLT $BK $AMGN $HRTX $IVZ $LCI https://t.co/G9DxoE5dzj","twitter","Short Setups Looking Nice....Really Nice","709779449663721500"
"$AAPL","-0.336","Sold Jan 2013 $580 puts on the lows of the pull back $aapl","stocktwits","Sold Jan 2013 $580 puts on the lows of the pull back","7043040"
"$FB","0.107","So people thk $TWTR is a failure 'cos it has jst 20% of the users $FB has...bt they're forgetting the potential relative value of its users","twitter","orgetting the potential relative value of its users","711720585143967700"
"$TZA","0.385","Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.","stocktwits","Letting the calls ride solo now","5359914"
"$AMZN","0.246","U.S. Active (Stock Wars): $AAPL +1.44%, $AMZN +1.28%, $CHK +13.56%, $UA -3.61%, $UCO +4.44% https://t.co/jdoP0QgKi5 #StockWars","twitter","$AMZN +1.28%","719555610497273900"
"$SLW","0.149","$CAT +5.10%, $RIO +4.54%, $FCX +3.53%, $FXI +2.93%, $BHP +3.04%, $YHOO +2.61%, $X +2.27%, $SLW +1.68%, $HAL +1.49%, $MCP +1.56% $NFLX +1.42%","stocktwits","$SLW +1.68%","5514207"
"$IBM","0.348","Google, IBM, ARM And AMD Begin The Assault On Intel's Server Franchise https://t.co/Ff7gFjSNbP $MU $IBM $ARMH $GOOG $GOOGL $AMD $INTC","twitter","Google, IBM, ARM And AMD Begin The Assault On Intel's Server Franchise","719905344957222900"
"$AAPL","0.562","agree with you - this is not the end of the world- buy $AAPL $GOOG","stocktwits","buy;$;not the end of the world","5853626"
"$INTU","0.337","$INTU Sheds Its PC Roots and Rises as a Cloud Software Company. https://t.co/4vRfIqntem","twitter","$INTU ;$;ises as a Cloud Software Company.","719497506808328200"
"$QCOM","-0.420","@WeezyMiyagi: Cook is a supply chain expert. Do u think he would allow a $QCOM shortage to deter $AAPL?//Sorry Longs, Correction mode $$","stocktwits","Sorry Longs, Correction mode","7678713"
"$GE","0.511","2013 LONGS(12/31/2012 close) $CLWR >2.89 $SIRI >2.89 $SWHC >8.44 $GE >20.99 $HAL >34.69 $EBAY >51.00 $PAL >1.30 >>> I'm UP( +8.332% ) YOU?","stocktwits","LONGS","12248515"
"$INTC","-0.462","$INTC finally some nice downside move... looking for the 31 handle to break","twitter","finally some nice downside move;$; looking for the 31 handle to break","719891827529281500"
"$UVXY","-0.223","$UVXY Take a shot from 10.40","stocktwits","Take a shot from","12319255"
"$SPY","0.387","$SPY Relief rally becomes belief rally?","stocktwits","Relief rally becomes belief rally?","21130209"
"$AAPL","0.506","$AAPL  If this hits 360 and bounces off of it. Its time to buy.","stocktwits","Its time to buy","13134473"
"$GA","-0.498","new ""large player sells"" #stocks http://stks.co/qucG $CPWR $GA $UL","stocktwits","new 'large player sells'","19388705"
"$NQ","0.226","China Will Overtake US As Largest Online Gaming Market Says Report http://stks.co/a1TZL $MSFT $SNE $NQ $DSKY $CMGE","stocktwits","Largest Online Gaming Market","31143613"
"$WDC","0.513","Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),","twitter","Notable gainers among liquid option names this morning","719544293606735900"
"$AAPL","-0.424","$aapl 14 days without even a one dollar pull back...i see a big down day in the near future, just dont know when","stocktwits","i see a big down day in the near future","9099325"
"$SWHC","0.511","2013 LONGS(12/31/2012 close) $CLWR >2.89 $SIRI >2.89 $SWHC >8.44 $GE >20.99 $HAL >34.69 $EBAY >51.00 $PAL >1.30 >>> I'm UP( +8.332% ) YOU?","stocktwits","LONGS","12248515"
"$DDD","0.012","$DDD Hope they Crush it!","stocktwits","Hope they Crush it!","21985811"
"$CTRP","0.452","China winners: $QIHU $CTRP $QUNR $BIDU $SFUN $VIPS","stocktwits","China winners","19639364"
"$AA","0.316","Downbeaten stocks may be ripe for buys:  $SAN $VALE $AA $KMP $WPRT $CREE","stocktwits","Downbeaten stocks may be ripe for buys","21382309"
"$AREX","-0.420","With Oil Prices Down further, Oil Stocks Looking Less Cheap http://stks.co/a1RKF $AREX $CPE $CRZO $OIL $GST $NBL $OAS $OXY","stocktwits","With Oil Prices Down further, Oil Stocks Looking Less Cheap","30827588"
"$TZA","0.309","still in $TZa","stocktwits","still in","5285681"
"$AAPL","0.680","$AAPL upper trend line is the approximate position of the 200dma. Bias is up, unless it goes down  :) https://t.co/9fbLKahEnb","twitter","upper trend line is the approximate position of the 200dma;$;Bias is up","719884784672120800"
"$BIOC","0.475","$BIOC Wow!  Biocept is among the best under 5 stocks.   http://stks.co/d26iK","stocktwits","Wow! Biocept is among the best under 5 stocks.","35898170"
"$OSUR","0.552","$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days","stocktwits","up 33% since 6/25 buy signal","14631536"
"$LNT","0.324","$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share","stocktwits","Increases Annual Dividend","5983670"
"$TWTR","0.591","So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.","stocktwits","all on a longer-term, technical swing long basis.","25816362"
"$TSLA","0.225","$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately.","twitter","may feed off $TSLA momentum run lately.","719528411430051800"
"$CVX","-0.296","DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF","twitter","overbought","709741154393133000"
"$SPY","0.101","The next major resistance is 1246. The support is now at 1212 then 1206. $SPY","stocktwits","The support is now at","5462494"
"$MCD","-0.545","Why $MCD looks set to fall further. http://stks.co/f2fgj","stocktwits","looks set to fall further","38960261"
"$AGU","0.464","pretty steady accumulation off support today.  Purdy. $AGU","stocktwits","pretty steady accumulation off support","8658550"
"$ZYNE","-0.369","2⃣0⃣Biggest Market Losers $VRX $CSTM $ZYNE $ENDP $ARLZ $PTX $BLCM $NVIV $SGY $LABU $WBAI $SID $CJES $MNK $ASPS $HZNP https://t.co/ekwqzpzxmJ","twitter","Biggest Market Losers","709834259687710700"
"$MINE","0.120","$LIFE hits a high of $3.61! +12.81% From Friday's $3.20 Buy Call! $FB $AAPL $GOOG $ANPPF $MINE https://t.co/mFuGFAEc2w","twitter","Buy Call!","719536774821867500"
"$GPRO","-0.239","GoPro Closes Near Key Support Zone http://stks.co/b1OhT by @BartsCharts $GPRO","stocktwits","Closes Near Key Support Zone","30506310"
"$BIDU","0.000","Alibaba invests in Southeast Asian retailer Lazada | Watch the video $BABA $EFUT $BIDU #Stocks #Alerts #Madtweets  https://t.co/PgtkHioojP","twitter","Alibaba invests in Southeast Asian retailer Lazada;$;$BIDU","719869800726544400"
"$NFLX","-0.294","A lot of high flyers like $NFLX (no position) r getting their wings clipped today. I would blame the 6-month comment by Yellen.","stocktwits","getting their wings clipped today","21272771"
"$RNN","0.551","$RNN staying above the open a very good sign!!!","stocktwits","staying above the open a very good sign!!!","15852778"
"$MFA","-0.463","downgrades $SON $ARI $GG $FLTX $WMC $MFA $IVR $CMI $PCAR $QLIK $AFOP $UNFI #stocks #investing #tradeideas","twitter","downgrade","719520125582504000"
"$SLV","-0.591","$SLV -4.44% at 18 now AWFUL, down from 42.50","stocktwits","AWFUL, down from","14308451"
"$CSCO","-0.421","getting killed on $CSCO calls, we`ll see what happens next","stocktwits","getting killed on $CSCO calls","9430169"
"$ATRS","0.036","$ATRS $2.66  support - hope it holds or look out","stocktwits","support - hope it holds or look out","22514242"
"$OASM","0.415","Ex $CELG / $PFE VP of clinical R&D thinks $OASM is ""grossly undervalued"" >> https://t.co/Sz7dyVm35Z // I agree! @Oasmia","twitter","$OASM is 'grossly undervalued","719609780000657400"
"$FB","-0.481","It looks like $FB is a thumb down so far. No like. At least it didn't go below 38 yet but it should have. It was supported by the IPO maker.","stocktwits","is a thumb down so far;$;No like;$;It was supported by the IPO maker","8054825"
